"Timestamp","What is your height? (Inches)","What is your age?","What is your gender?","What is your shoe size?","Gold and White? or Blue and Black?","Edward or Jacob?","100 duck-sized horses or 1 horse-sized duck?","Pam and Jim? Or Kevin?"
"2022/05/12 4:58:36 PM CDT","74","30","Male","12","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/12 5:13:13 PM CDT","67","20","Female","8.5","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/12 5:35:18 PM CDT","70","23","Male","10.5","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Pam and Jim"
"2022/05/12 5:46:26 PM CDT","71","22","Male","10","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 6:14:31 PM CDT","60","20","Female","6","Gold and White","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Pam and Jim"
"2022/05/12 6:16:43 PM CDT","64","24","Female","6.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/12 6:18:37 PM CDT","75","24","Male","12","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 6:20:30 PM CDT","63","25","Female","9","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 6:23:19 PM CDT","76","22","Male","10","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 6:28:23 PM CDT","70","25","Male","11","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 6:30:24 PM CDT","62","22","Female","8","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 6:33:25 PM CDT","68","22","Male","9","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Pam and Jim"
"2022/05/12 6:41:50 PM CDT","75","19","Male","11","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 6:50:35 PM CDT","64","25","Female","8","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 6:54:44 PM CDT","72","23","Male","9","Blue and Black","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Kevin Malone"
"2022/05/12 6:55:26 PM CDT","","23","Female","10","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 6:59:32 PM CDT","69","24","Male","9.5","Gold and White","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Kevin Malone"
"2022/05/12 7:00:04 PM CDT","66","23","Male","6.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 7:00:29 PM CDT","70","25","Male","12","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/12 7:21:26 PM CDT","68","24","Male","9","Gold and White","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/12 7:27:40 PM CDT","66","22","Male","9.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse",""
"2022/05/12 7:31:44 PM CDT","71","24","Male","11","Blue and Black","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Pam and Jim"
"2022/05/12 7:49:43 PM CDT","63","29","Male","11","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 8:12:08 PM CDT","71","19","Male","11.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 8:56:42 PM CDT","72","32","Male","10","Blue and Black","","Duck-sized horse","Pam and Jim"
"2022/05/12 9:11:23 PM CDT","65","21","Male","8","Blue and Black","","Horse-sized duck","Pam and Jim"
"2022/05/12 9:35:40 PM CDT","67","20","Female","10","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 9:40:18 PM CDT","61","56","Male","10.5","Gold and White","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/12 9:42:03 PM CDT","65","21","Female","10","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Pam and Jim"
"2022/05/12 9:43:44 PM CDT","68","21","Female","10","Gold and White","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Pam and Jim"
"2022/05/12 10:20:16 PM CDT","67","22","Female","10","Gold and White","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Kevin Malone"
"2022/05/12 11:09:19 PM CDT","63","23","Male","13","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Kevin Malone"
"2022/05/12 11:17:23 PM CDT","67","24","Female","9","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/13 9:34:39 AM CDT","66","23","Female","9","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/13 9:43:16 AM CDT","68","37","Female","9","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Pam and Jim"
"2022/05/13 12:46:21 PM CDT","72","23","Male","11","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/13 1:45:53 PM CDT","74","25","Male","9.5","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/13 1:54:05 PM CDT","74","23","Male","12","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/13 6:11:03 PM CDT","75","24","Male","11","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/13 6:39:54 PM CDT","70","25","Male","10.5","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Pam and Jim"
"2022/05/13 9:22:07 PM CDT","","","","","","","",""
"2022/05/13 10:52:57 PM CDT","77","23","Ogre","14","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/14 1:27:50 AM CDT","72","23","Male","10","Blue and Black","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Pam and Jim"
"2022/05/16 8:40:27 AM CDT","","","","","","","",""
"2022/05/16 4:57:33 PM CDT","72","25","Male","10","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/16 10:22:21 PM CDT","74","26","Male","10.5","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/17 3:36:32 AM CDT","","","","","","","",""
"2022/05/18 5:51:14 AM CDT","","","","","","","",""
"2022/05/18 10:48:37 AM CDT","67","24","Female","8.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Kevin Malone"
